number,image,answer,category,hint
1,a01,急性蜂窩織炎性虫垂炎,炎症・感染症,ひんと
2,a02,急性壊疽性虫垂炎,炎症・感染症,ひんと
3,a03,ヘルペス肝炎,炎症・感染症,ひんと
4,a04,肺結核,炎症・感染症,ひんと
5,a05,カンジダ,炎症・感染症,ひんと
6,a06,肺アスペルギルス,炎症・感染症,ひんと
7,a07,肺アスペルギルス(Grocott),炎症・感染症,ひんと
8,a08,アメーバ赤痢,炎症・感染症,ひんと
9,a09,サルコイドーシス,炎症・感染症,ひんと
10,a10,サイトメガロウイルス,炎症・感染症,ひんと
11,c00,不明,腫瘍総論,ひんと
12,c01,高分化型扁平上皮癌,腫瘍総論,ひんと
13,c02,低分化型扁平上皮癌,腫瘍総論,ひんと
14,c03,多形腺腫由来癌,腫瘍総論,ひんと
15,c04,過誤腫,腫瘍総論,ひんと
16,c05,異所性膵,腫瘍総論,ひんと
17,c06,成熟奇形腫,腫瘍総論,ひんと
18,c07,高分化型管状腺腫,腫瘍総論,ひんと
19,c08,低分化型管状腺腫,腫瘍総論,ひんと
20,c09,濾胞腺腫,腫瘍総論,ひんと
21,c10,濾胞癌,腫瘍総論,ひんと
22,c12,悪性黒色腫の転移巣,腫瘍総論,ひんと
23,c14,凝固壊死,腫瘍総論,ひんと
24,c15,融解壊死,腫瘍総論,ひんと
25,c16,生理的アポトーシス,腫瘍総論,ひんと
26,c18,HPV陽性扁平上皮癌,腫瘍総論,ひんと
27,d01,Gaucher病,代謝障害,ひんと
28,d02,糖原病,代謝障害,ひんと
29,d03,アミロイドーシス(肝臓),代謝障害,ひんと
30,d04,アミロイドーシス(腎臓),代謝障害,ひんと
31,d05,アミロイドーシス(脾臓),代謝障害,ひんと
32,d06,胆汁うっ滞,代謝障害,ひんと
33,d07,血鉄症,代謝障害,ひんと
34,d08,脂肪肝,代謝障害,ひんと
35,d09,転移性石灰沈着,代謝障害,ひんと
36,d10,糖尿病性腎症,代謝障害,ひんと
37,d11,粥状硬化症,代謝障害,ひんと
38,e01,多形腺腫由来癌,頭頸部,ひんと
39,e02,腺房細胞癌,頭頸部,ひんと
40,e03,乳頭癌,頭頸部,ひんと
41,e04,副甲状腺過形成,頭頸部,ひんと
42,e05,扁平上皮乳頭腫,頭頸部,ひんと
43,e06,鰓裂嚢胞,頭頸部,ひんと
44,e07,内反性乳頭腫,頭頸部,ひんと
45,e08,嗅神経芽細胞腫,頭頸部,ひんと
46,e09,IgG4関連疾患,頭頸部,ひんと
47,e10,扁平上皮内癌,頭頸部,ひんと
48,e11,放水塞栓症,頭頸部,ひんと
49,e12,大動脈解離,頭頸部,ひんと
50,e13,心筋梗塞,頭頸部,ひんと
51,e14,血栓,頭頸部,ひんと
52,f01,大葉性肺炎,呼吸器,ひんと
53,f02,肺クリプトコックス症,呼吸器,ひんと
54,f03,肺結核,呼吸器,ひんと
55,f04,サルコイドーシス,呼吸器,ひんと
56,f05,通常型間質性肺炎,呼吸器,ひんと
57,f06,非特異的間質性肺炎,呼吸器,ひんと
58,f07,びまん性肺胞障害,呼吸器,ひんと
59,f08,気胸,呼吸器,ひんと
60,f09,ラベル不明,呼吸器,ひんと
61,f10,ラベル不明,呼吸器,ひんと
62,f11,上皮内腺癌,呼吸器,ひんと
63,f12,浸潤性腺癌,呼吸器,ひんと
64,f13,浸潤性粘液性腺癌,呼吸器,ひんと
65,f14,扁平上皮癌,呼吸器,ひんと
66,f15,カルチノイド腫瘍,呼吸器,ひんと
67,f16,小細胞癌,呼吸器,ひんと
68,f17,転移性肺腫瘍(大腸癌の転移),呼吸器,ひんと
69,f18,転移性肺腫瘍(淡明細胞型腎細胞癌の転移),呼吸器,ひんと
70,f21,悪性胸膜中皮腫(上皮型),呼吸器,ひんと
71,f22,悪性胸膜中皮腫(肉腫型),呼吸器,ひんと
72,f23,胸腺腫(AB型),呼吸器,ひんと
73,f24,胸腺腫(B2型),呼吸器,ひんと
74,g01,正常骨髄,造血器・リンパ,ひんと
75,g02,再生不良性貧血,造血器・リンパ,ひんと
76,g03,急性骨髄性白血病,造血器・リンパ,ひんと
77,g04,急性全骨髄球性白血病,造血器・リンパ,ひんと
78,g05,多発性骨髄腫,造血器・リンパ,ひんと
79,g06,慢性骨髄性白血病,造血器・リンパ,ひんと
80,g07,本態性血小板血症,造血器・リンパ,ひんと
81,g11,壊死性リンパ節炎,造血器・リンパ,ひんと
82,g12,結核,造血器・リンパ,ひんと
83,g13,サルコイドーシス,造血器・リンパ,ひんと
84,g14,びまん性大細胞型B細胞性リンパ腫,造血器・リンパ,ひんと
85,g15,血管内リンパ腫,造血器・リンパ,ひんと
86,g16,バーキットリンパ腫,造血器・リンパ,ひんと
87,g17,濾胞性リンパ腫,造血器・リンパ,ひんと
88,g18,血管免疫芽球型T細胞性リンパ腫,造血器・リンパ,ひんと
89,g19,Anaplastic large cell lymphoma,造血器・リンパ,ひんと
90,g20,ホジキンリンパ腫・結節硬化型,造血器・リンパ,ひんと
91,h01,バレット食道,消化管,ひんと
92,h02,バレット腺癌,消化管,ひんと
93,h03,正常胃,消化管,ひんと
94,h04,萎縮性胃炎,消化管,ひんと
95,h05,胃潰瘍,消化管,ひんと
96,h06,胃癌(高～中分化型管状腺癌),消化管,ひんと
97,h07,胃癌(低分化腺癌),消化管,ひんと
98,h08,胃癌(胃底腺型胃癌),消化管,ひんと
99,h09,潰瘍性大腸炎,消化管,ひんと
100,h10,クローン病,消化管,ひんと
101,h11,大腸管状腺腫,消化管,ひんと
102,h12,平坦鋸歯状病変 SSL,消化管,ひんと
103,h13,神経内分泌腫瘍NET G1-2,消化管,ひんと
104,h14,Gastrointestinal stromal tumor,消化管,ひんと
105,h15,リンパ腫,消化管,ひんと
106,i01,急性肝炎,肝胆膵,ひんと
107,i02,慢性肝炎,肝胆膵,ひんと
108,i03,脂肪肝,肝胆膵,ひんと
109,i04,肝硬変,肝胆膵,ひんと
110,i05,肝細胞癌,肝胆膵,ひんと
111,i06,胆管細胞癌,肝胆膵,ひんと
112,i07,転移性肝癌,肝胆膵,ひんと
113,i08,アミロイドーシス,肝胆膵,ひんと
114,i11,急性胆嚢炎,肝胆膵,ひんと
115,i12,胆嚢癌,肝胆膵,ひんと
116,i13,急性膵炎,肝胆膵,ひんと
117,i14,慢性膵炎,肝胆膵,ひんと
118,i15,浸潤性膵管癌,肝胆膵,ひんと
119,i16,膵管内乳頭粘液性腫瘍,肝胆膵,ひんと
120,i17,腺房細胞癌,肝胆膵,ひんと
121,i18,膵神経内分泌腫瘍,肝胆膵,ひんと
122,i19,糖尿病,肝胆膵,ひんと
123,j01,乳管内乳頭腫,乳腺,ひんと
124,j02,線維腺腫,乳腺,ひんと
125,j03,乳腺症,乳腺,ひんと
126,j04,浸潤性乳管癌,乳腺,ひんと
127,j05,小葉癌,乳腺,ひんと
128,j06,粘液癌,乳腺,ひんと
129,j07,Paget病,乳腺,ひんと
130,j08,葉状腫瘍,乳腺,ひんと
131,k01,正常,女性生殖器,ひんと
132,k02,上皮内癌(CIS),女性生殖器,ひんと
133,k03,増殖期内膜,女性生殖器,ひんと
134,k04,分泌中期内膜,女性生殖器,ひんと
135,k05,類内膜癌,女性生殖器,ひんと
136,k06,子宮筋腫と腺筋症,女性生殖器,ひんと
137,k07,正常卵巣・卵管,女性生殖器,ひんと
138,k08,粘液性嚢胞腺腫,女性生殖器,ひんと
139,k09,粘液性境界悪性腫瘍,女性生殖器,ひんと
140,k10,Krukenberg腫瘍,女性生殖器,ひんと
141,k11,正常胎盤,女性生殖器,ひんと
142,k12,胞状奇胎,女性生殖器,ひんと
143,k13,卵巣,女性生殖器,ひんと
144,l01,関節リウマチ,運動器,ひんと
145,l02,痛風,運動器,ひんと
146,l05,線維肉腫,運動器,ひんと
147,l06,多形型横紋筋肉腫,運動器,ひんと
148,l07,高分化型脂肪肉腫,運動器,ひんと
149,l08,粘液型脂肪肉腫,運動器,ひんと
150,l09,骨肉腫(通常型),運動器,ひんと
151,l10,骨巨細胞腫,運動器,ひんと
152,l13,軟骨肉腫(通常型),運動器,ひんと
153,m01,基底細胞癌,皮膚,ひんと
154,m02,有棘細胞癌,皮膚,ひんと
155,m03,悪性黒色腫,皮膚,ひんと
156,m04,エクリン汗孔腫,皮膚,ひんと
157,m05,水疱性類天疱瘡,皮膚,ひんと
158,m06,天疱瘡,皮膚,ひんと
159,m07,尋常性乾癬,皮膚,ひんと
160,m08,扁平苔癬,皮膚,ひんと
